"","State","Rate","Rank","Set"
"1","Vermont","79.0"," 1.0","Top 10"
"2","Rhode Island","77.6"," 2.0","Top 10"
"3","Maine","77.0"," 3.0","Top 10"
"4","Connecticut","75.5"," 4.0","Top 10"
"5","Hawaii","75.3"," 5.0","Top 10"
"6","Massachusetts","75.1"," 6.0","Top 10"
"7","New York","72.7"," 7.0","Top 10"
"8","Maryland","72.0"," 8.0","Top 10"
"9","New Jersey","71.8"," 9.0","Top 10"
"10","District of Columbia","71.3","10.0","Top 10"
"11","Indiana","53.4","42.5","Bottom 10"
"12","North Dakota","53.4","42.5","Bottom 10"
"13","Tennessee","52.4","44.0","Bottom 10"
"14","Arkansas","52.3","45.0","Bottom 10"
"15","Georgia","52.2","46.0","Bottom 10"
"16","Idaho","52.0","47.0","Bottom 10"
"17","Louisiana","51.1","48.0","Bottom 10"
"18","Mississippi","49.6","49.0","Bottom 10"
"19","Wyoming","49.1","50.0","Bottom 10"
"20","Alabama","48.9","51.0","Bottom 10"
