"","country","vax","rate 2. Delta","rate 3. Omicron","rate 4. Post-vaccination total","total 2. Delta","total 3. Omicron","total 4. Post-vaccination total"
"1","New Zealand",75,"0.5","3.3","3.7","200,663 (99)","157,236 (94)","357,899 (97)"
"2","Japan",80,"3","7.4","10.4","192,278 (95)","143,443 (85)","335,721 (91)"
"3","Australia",76,"4.9","14.2","19.2","185,819 (92)","120,894 (72)","306,713 (83)"
"4","Republic of Korea",82,"6.1","18.2","24.3","181,927 (90)","107,650 (64)","289,577 (78)"
"5","Netherlands",67,"16.6","7.9","24.5","147,061 (73)","141,898 (84)","288,959 (78)"
"6","Norway",73,"10","18.6","28.7","168,899 (84)","106,280 (63)","275,179 (74)"
"7","Canada",77,"10.2","20.2","30.4","168,351 (83)","101,049 (60)","269,401 (73)"
"8","Switzerland",67,"16.4","15.5","31.9","147,757 (73)","116,511 (69)","264,268 (71)"
"9","Sweden",70,"6.3","31.3","37.6","181,286 (90)","64,167 (38)","245,453 (66)"
"10","Ireland",78,"20.5","17.2","37.7","134,206 (66)","110,857 (66)","245,063 (66)"
"11","France",74,"14.6","27.6","42.2","153,765 (76)","76,453 (45)","230,218 (62)"
"12","Israel",64,"19.4","24.9","44.3","137,898 (68)","85,326 (51)","223,224 (60)"
"13","Spain",80,"17.7","26.7","44.5","143,348 (71)","79,372 (47)","222,720 (60)"
"14","Finland",74,"12","35.2","47.2","162,449 (80)","51,097 (30)","213,546 (58)"
"15","Belgium",76,"25.3","22.5","47.7","118,390 (59)","93,526 (56)","211,916 (57)"
"16","Denmark",78,"10.9","41.2","52.2","166,026 (82)","31,182 (19)","197,208 (53)"
"17","Germany",71,"29.6","22.7","52.3","104,041 (51)","92,750 (55)","196,792 (53)"
"18","Italy",76,"15.2","39","54.2","151,867 (75)","38,609 (23)","190,476 (51)"
"19","The United Kingdom",71,"30.1","28.9","59","102,324 (51)","72,176 (43)","174,500 (47)"
"20","Austria",74,"40.4","24.6","65","68,040 (34)","86,582 (52)","154,622 (42)"
"21","10 most vaccinated",73,"28.1","46.6","74.7","108,916 (54)","13,388 (8)","122,304 (33)"
"22","9 most vaccinated",74,"28.6","47.1","75.7","107,457 (53)","11,666 (7)","119,123 (32)"
"23","United States",63,"60.9","50.6","111.6","0 (0)","0 (0)","0 (0)"
"24","United States of America",63,"63.7","50.6","114.2","-9,087 (-4)","225 (0)","-8,862 (-2)"
"25","10 least vaccinated",52,"86.6","59.4","146","-85,080 (-42)","-29,058 (-17)","-114,138 (-31)"
"26","8 least vaccinated",51,"90","57.9","147.8","-96,401 (-48)","-23,953 (-14)","-120,354 (-33)"
